,soldDate,propertyType,address,city,zipOrPostalCode,price,beds,baths,location,squareFeet,lotSize,yearBuilt,ppsf,latitude,longitude,walkScore,bikeScore,transitScore,rentalValue,elementry,middle,high,listPrice
3025,January-9-2024,Single Family Residential,1573 Monteval Ln,San Jose,95120.0,1900000.0,3.0,2.5,SAN JOSE,1866.0,8025.0,1965.0,1018.0,37.226423,-121.9015065,39.0,35.0,12.0,4824.0,6.0,6.0,8.0,1850000.0
3026,January-16-2024,Single Family Residential,1471 Dentwood Dr,San Jose,95118.0,1510000.0,4.0,2.0,SAN JOSE,1370.0,5663.0,1959.0,1102.0,37.2487675,-121.8959111,60.0,53.0,29.0,4084.0,6.0,6.0,9.0,1300000.0
3027,September-18-2023,Single Family Residential,2997 Castle Dr,San Jose,95125.0,2250000.0,3.0,2.5,SAN JOSE,2228.0,9906.0,1959.0,1010.0,37.2776358,-121.8822989,,,,,,,,
3028,September-19-2023,Single Family Residential,610 Orvis Ave,San Jose,95112.0,1250000.0,3.0,2.0,DOWNTOWN,1385.0,4680.0,1915.0,903.0,37.3307892,-121.8694475,51.0,83.0,45.0,3628.0,2.0,3.0,5.0,1199000.0
3029,October-16-2023,Single Family Residential,6996 Claywood Way,San Jose,95120.0,2140000.0,5.0,3.0,San Jose,2508.0,8815.0,1980.0,853.0,37.2059284,-121.8261465,17.0,56.0,0.0,5584.0,7.0,7.0,6.0,1985000.0
3030,September-15-2023,Single Family Residential,3829 Bucknall Rd,Campbell,95008.0,1950000.0,3.0,2.0,CAMPBELL,1782.0,6635.0,1972.0,1094.0,37.2844074,-121.967196,44.0,50.0,33.0,4846.0,6.0,6.0,8.0,1699999.0
3031,March-11-2024,Single Family Residential,6137 Ashburton Dr,San Jose,95123.0,1750000.0,4.0,3.0,SAN JOSE,1833.0,7015.0,1968.0,955.0,37.2359896,-121.8137113,38.0,44.0,43.0,4564.0,5.0,5.0,8.0,1599900.0
3032,February-12-2024,Single Family Residential,422 Mignot Ln,San Jose,95111.0,1035000.0,3.0,2.0,SAN JOSE,1113.0,6970.0,1959.0,930.0,37.2839307,-121.8286156,65.0,72.0,51.0,3322.0,2.0,2.0,4.0,799000.0
3033,February-22-2024,Single Family Residential,1571 Oak Canyon Dr,San Jose,95120.0,2600000.0,4.0,2.5,SAN JOSE,2715.0,7841.0,1985.0,958.0,37.2293163,-121.9017732,23.0,43.0,24.0,6039.0,6.0,6.0,8.0,2199888.0
3034,November-30-2023,Single Family Residential,1092 Beaumont Dr,San Jose,95129.0,2255000.0,4.0,3.0,SAN JOSE,1862.0,5663.0,1963.0,1211.0,37.30686,-121.9894984,45.0,69.0,38.0,5509.0,8.0,7.0,,2198000.0
3035,September-20-2023,Single Family Residential,1054 Delmas Ave,San Jose,95125.0,900000.0,2.0,1.0,SAN JOSE,1063.0,6247.0,1910.0,847.0,37.3130555,-121.8931035,86.0,95.0,51.0,3460.0,4.0,5.0,7.0,699000.0
3036,November-15-2023,Single Family Residential,1012 Glenridge Dr,San Jose,95136.0,1535000.0,3.0,2.0,SAN JOSE,1512.0,6687.0,1968.0,1015.0,37.2689625,-121.8731115,,,,,,,,
3037,December-22-2023,Single Family Residential,1578 Calle De Aida,San Jose,95118.0,2045000.0,4.0,2.0,SAN JOSE,1780.0,6000.0,1975.0,1149.0,37.2586058,-121.8991061,75.0,66.0,25.0,4597.0,7.0,6.0,9.0,1850000.0
3038,October-5-2023,Single Family Residential,715 Franklin Ct,San Jose,95127.0,1778000.0,5.0,3.0,SAN JOSE,2529.0,7488.0,1973.0,703.0,37.3843429,-121.8406596,,,,,,,,
3039,September-15-2023,Single Family Residential,615 Union Ave,Campbell,95008.0,1180000.0,3.0,2.5,CAMPBELL,1318.0,2347.0,1980.0,895.0,37.278304,-121.936845,,,,,,,,
3040,February-19-2024,Single Family Residential,387 Sunpark Ln,San Jose,95136.0,1258000.0,3.0,2.0,SAN JOSE,1442.0,5227.0,1971.0,872.0,37.2671464,-121.8465037,45.0,69.0,39.0,3892.0,4.0,3.0,4.0,1145000.0
3041,January-31-2024,Single Family Residential,5826 Hillview Ave,San Jose,95123.0,1525000.0,3.0,2.0,SAN JOSE,1398.0,5663.0,1977.0,1091.0,37.2473247,-121.8620125,83.0,83.0,32.0,0.0,4.0,6.0,6.0,1200000.0
